ID,Award Name,Organization,Purpose,Level of Study,Award Type,Award Amount,Deadline
9993710,Lounge Lizard Web Design Scholarship,Lounge Lizard Worldwide Inc.,To provide students who are designers the opportunity to win a scholarship.,Bachelor's Degree,"Prize
Scholarship","$1,000 ",October
9999418,Luce/ACLS Dissertation Fellowships in American Art,American Council of Learned Societies,To provide support graduate students pursuing research on the history of art and visual culture of the research after being awarded the PhD United States.,Graduate Degree,Fellowship,"$4,000
$30,000",October
9993668,MAES Founders Scholarship,MAES: Latinos in Science and Engineering,"To increase the number of Latino students completing their higher education goals and are awarded to student members in the fields of Science, Technology, Engineering, and Mathematics.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
9993667,MAES General Scholarships,MAES: Latinos in Science and Engineering,To increase the number of Latino students completing their higher education goals.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$2,000",October
9993665,MAES Presidential Scholarship,MAES: Latinos in Science and Engineering,"To increase the number of Latino students completing their higher education goals and are awarded to student members in the fields of Science, Technology, Engineering, and Mathematics.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
9993664,MAES Scholarships,MAES: Latinos in Science and Engineering,To increase the number of Hispanic students completing their higher education goals.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,500 ",October
9990201,Marianne M. Stenvig Scholarship,South Dakota Nurses Association,To support a male registered nurse in pursuit of his educational goals.,Graduate Degree,Scholarship,"$1,000 ",October
9998733,Marion and Donald Routh Student Research Grant,APA Division 54: Society of Pediatric Psychology,To enable a student member of the Society of Pediatric Psychology to pursue research scholarship.,Graduate Degree,Grant,"$1,000 ",October
9999142,Mary Minglen Scholarship,American Occupational Therapy Foundation,To support students enrolled in a occupational therapy assistant programs.,"Graduate Degree
Professional Development
Vocational",Scholarship,"$1,200 ",October
9998767,Mathilde Krim Fellowships in Biomedical Research,"amfAR, The Foundation for AIDS Research","To encourage the investigators with limited experience and demonstrated interest in the field of HIV/AIDS to redirect or to embark on a career in biomedical, social or behavioral HIV/AIDS research.",Graduate Degree,Fellowship,"$150,000 ",October
9993309,MCBA Scholarships (MCBA),Michigan Competing Band Association,To grant scholarships to deserving students from Michigan high schools that are members of MCBA.,"Bachelor's Degree
High School",Scholarship,"$2,000 ",October
9999461,Michael P. Spadafora Medical Toxicology Travel Award,American College of Medical Toxicology,To provide registration to the Annual Scientific Meeting and fund reimbursement to support travel and lodging.,N/A,Grant,"$1,500 ",October
9994694,Michelle North Scholarships for Safety,Helicopter Association International,To assist private helicopter pilot candidates who wish to obtain their commercial helicopter ratings.,N/A,Scholarship,N/A,October
9990437,Mineral & Metallurgical Processing Division Scholarships and,"Society for Mining, Metallurgy, and Exploration",To recognize undergraduate or graduate students to students interested in pursuing careers in the area of mineral and metallurgical processing.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,200
$5,000",October
9993229,Money Metals Exchange & Sound Money Defense League Scholarship,Money Metals Exchange,To provide for who display deep understanding of economics and monetary policy.,"Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000
$2,000",October
9993179,Myasthenia Gravis Foundation of America Nursing Research Fellowships,Myasthenia Gravis Foundation of America,To provide financial assistance to nurses or nursing students interested in studying problems encountered by patients with myasthenia gravis or related neuromuscular conditions.,Bachelor's Degree,Fellowship,"$5,000 ",October
9990504,Myrna F. Bernath Fellowship,Society for Historians of American Foreign Relations,To defray the costs of scholarly research by women.,"Graduate Degree
Professional Development",Fellowship,"$2,500 ",October
9993155,NAEd/Spencer Dissertation Fellowship Program,National Academy of Education,To encourage a new generation of scholars from a wide range of disciplines and professional fields to undertake research relevant to the improvement of education.,Graduate Degree,Fellowship,"$27,500 ",October
9989990,Nancy Johnston Memorial Scholarships,Temecula Valley Wine Society,"To provide financial assistance to students majoring in Enology, Entomology, Viticulture or Wine Marketing.","Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
9992958,National Dairy Herd Information Association Scholarship Program,National Dairy Herd Improvement Association,To provide financial assistance for the education of incoming and continuing students at technical and two-year and four-year institutions.,"Associate Degree
Bachelor's Degree",Scholarship,"$1,000 ",October
9992906,National GEM Consortium - PhD Engineering Fellowship,National GEM Consortium,To offer funding to underrepresented minority students who have either completed or are currently enrolled in a master's in engineering program.,Graduate Degree,Fellowship,"$16,000 ",October
9992905,National GEM Consortium - PhD Science Fellowships,National GEM Consortium,To increase the number of minority students who pursue doctoral degrees in the natural science disciplines.,Graduate Degree,Fellowship,"$16,000 ",October
9997957,National Glaucoma Research Program Grant,BrightFocus Foundation,"To provide research funds for U.S. and international researchers pursuing pioneering research leading to greater understanding, prevention, and treatment of glaucoma.",N/A,Grant,"$200,000 ",October
9992890,National Humanities Center Fellowships,National Humanities Center,To promote and encourage advanced study and research on humanities.,"Graduate Degree
Professional Development",Fellowship,"$65,000 ",October
9992614,NBIA Scholarship,New Brunswick Institute of Agrologists,To support NB students entering the third year of a degree program in Agriculture.,Bachelor's Degree,Scholarship,"$1,000 ",October
9992953,NDSEG Fellowship,National Defense Science and Engineering Graduate Fellowship,To increase the number and quality of scientists and engineers.,"Associate Degree
Graduate Degree",Fellowship,"$1,000 ",October
9999191,Nephrology Nurse Researcher Awards,American Nephrology Nurses' Association,To recognize outstanding nephrology nurse researchers.,N/A,Prize,"$1,000 ",October
9990083,NJCBIR Individual Research Grants,"New Jersey Commission on Brain Injury Research
State of New Jersey Department of Health","To encourage investigators to undertake research on neural protection, repair and regeneration after traumatic brain injury; to encourage individuals to undertake research on the effectiveness of clinical interventions for traumatic brain injury; and to enable researchers with novel scientific and clinical ideas to test them and develop pilot data needed to develop a programmatic area of research that can be supported by additional funding from the National Institutes of Health and other funding sources.","Graduate Degree
Professional Development",Grant,"$3,000,000 ",October
9990082,NJCBIR Pilot Research Grants,"New Jersey Commission on Brain Injury Research
State of New Jersey Department of Health","To encourage investigators to undertake research on neural protection, repair and regeneration after traumatic brain injury; to encourage individuals to undertake research on the effectiveness of clinical interventions for traumatic brain injury; and to enable researchers with novel scientific and clinical ideas to test them and develop pilot data needed to develop a programmatic area of research that can be supported by additional funding from the National Institutes of Health and other funding sources.",N/A,Grant,"$3,000,000 ",October
9990081,NJCBIR Postdoctoral and Graduate Student Fellowships,"New Jersey Commission on Brain Injury Research
State of New Jersey Department of Health","To encourage investigators to undertake research on neural protection, repair and regeneration after traumatic brain injury; to encourage individuals to undertake research on the effectiveness of clinical interventions for traumatic brain injury; and to enable researchers with novel scientific and clinical ideas to test them and develop pilot data needed to develop a programmatic area of research that can be supported by additional funding from the National Institutes of Health and other funding sources.","Graduate Degree
Professional Development",Fellowship,"$50,000 ",October
9992430,North Carolina Association of Health Care Recruiters Scholarship,North Carolina Association of Health Care Recruitment,"To assist, encourage and enable deserving students currently enrolled in an accredited program for health professions.",Bachelor's Degree,Scholarship,"$1,500 ",October
9992431,North Carolina CPA Foundation Scholarships,North Carolina Association of Certified Public Accountants,To further the development of accounting education and the accounting profession in North Carolina.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,500
$2,000
$2,500",October
9992756,NSHSS Diversity Scholarship,National Society of High School Scholars,"To support potential and pay for college, international study abroad, summer programs, and even graduate school.",High School,Scholarship,"$2,000 ",October
9992745,NSHSS Passion for Public Service Scholarship,National Society of High School Scholars,"To support potential and pay for college, international study abroad, summer programs, and even graduate school.","Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000 ",October
9992739,NSHSS STEM Scholarship,National Society of High School Scholars,"To support potential and pay for college, international study abroad, summer programs, and even graduate school.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9992689,NWRA Research Grants,National Wildlife Rehabilitators Association,To encourages and supports wildlife rehabilitation organizations in conducting independent and/or collaborative research projects.,Professional Development,Grant,"$6,000 ",October
9992036,Oceanic Research Group Scholarships,Oceanic Research Group,To provide assistance to deserving students pursuing marine-related undergraduate or graduate studies.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9991901,OREF Career Development Grant,Orthopaedic Research and Education Foundation,To encourage a commitment to scientific research by investigators who have demonstrated a sustained interest in research and excellence in their training.,Graduate Degree,Grant,"$300,000 ",October
9992021,OSGC Community College Scholarships,Ohio Space Grant Consortium,To support initiate a research project under the guidance of a faculty mentor during the academic school year.,"Associate Degree
Bachelor's Degree",Scholarship,"$1,000 ",October
9997282,Patty Walter Memorial Scholarships,Colorado Nurses Foundation,"To provide Colorado Nurses Foundation is dedicated to improving health care and nursing practice in Colorado. The foundation began Oct. 3, 1987, as the Nursing Institute of Colorado. Although the name has changed, the mission of the organization has remained essentially the same: to advance nursing in Colorado through education, advocacy, and recognition.","Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
9991542,Paul & Daisy Soros Fellowships,Paul and Daisy Soros Fellowships for New Americans,To honor the contributions of continuing generations of immigrants and refugees to the United States.,Graduate Degree,Fellowship,"$45,000 ",October
9991543,Paul & Daisy Soros Fellowships for New Americans,Paul & Daisy Soros Fellows Association,To assist students while honoring the contributions of immigrants and children of immigrants to the United States.,"Graduate Degree
Professional Development",Fellowship,N/A,October
9991868,PCA A.E. Robert Friedman Scholarship,Painting Contractors Association,To provide funds to deserving high school seniors or college aged students who are seeking to further their education through vocational or post-college studies.,"Bachelor's Degree
Graduate Degree
High School
Vocational",Scholarship,N/A,October
2015583,PlagCheck Essay Contest,PlagCheck.com,To promote critical thinking and original writing on the topics of artificial intelligence and education.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9995025,PON Graduate Student Grants,"Harvard University Law School
Program on Negotiation","To encourage scholarship in the fields of negotiation and conflict resolution, with the aim of supporting cutting edge research at the graduate level.",Graduate Degree,Grant,"$1,000 ",October
9991302,Pretty Photoshop Actions Annual Scholarship,"Pretty, LLC",To provide college and university students an opportunity to earn money to further their education.,"Bachelor's Degree
High School",Scholarship,$500 ,October
9999437,Public Interest Fellowship,American Constitution Society for Law and Policy,To provide a recent law school graduate a year of legal experience and training.,Bachelor's Degree,Fellowship,N/A,October
9999139,Ralph H. Potts Memorial Fellowship Award,American Oil Chemists' Society,"To recognizes graduate students conducting research related to fatty acids and their derivatives, such as long-chain alcohols, amines and other nitrogen compounds.",Graduate Degree,"Fellowship
Prize","$500
$2,000",October
9998209,Ralph Silverman Memorial Scholarship,Automotive Parts and Service Association of Illinois,To further promote quality and high standards through education within the automotive aftermarket industry.,Bachelor's Degree,Scholarship,N/A,October
9990492,Raymond Davis Scholarships,Society for Imaging Science and Technology,"To support students who pursue full time study, in a field related to imaging, leading to an academic degree.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9997441,Rees Scholarship Foundation - Veterans Program,"The Clifford H. ""Ted"" Rees, Jr. Scholarship Foundation",To support the HVACR industry.,Bachelor's Degree,Scholarship,"$2,000 ",October
9989131,Research-in-Training Grant,Wilderness Medical Society,To promote research on health and medicine in extreme or austere environments and to advance the field of wilderness medicine.,Graduate Degree,Grant,"$5,000 ",October
9989968,Richard A. Brown Student Scholarship,Texas Computer Education Association,To support deserving students who are pursuing a career in education.,Bachelor's Degree,Scholarship,"$1,000 ",October
9990966,Rob and Bessie Welder Wildlife Foundation's graduate research,Rob and Bessie Welder Wildlife Foundation,To support exceptionally qualified students pursuing graduate degrees in varied research areas of wildlife conservation and management with emphasis on research that will inform decision making and on-the-ground implementation.,Graduate Degree,Fellowship,"$1,600
$1,800",October
9989966,Robert E. Knight Professional Scholarship,Texas Computer Education Association,To recognize excellence in the integration of technology in schools.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9990854,Robert L. Wiegel Scholarship for Coastal Studies,The San Diego Foundation,To honor a graduate student whose work best exemplifies the passion for coastal science and engineering that marked the career.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$4,000",October
9989140,Robinson Helicopter R22/R44 Safety Course Scholarship,Whirly-Girls International Women Helicopter Pilots,To provide Whirly-Girl currently flying Robinsons the opportunity to attend the R22/R44 Safety Course and build either R22 or R44 time.,Professional Development,Scholarship,"$3,750 ",October
9999514,Rodger Doxsey Travel Prize,American Astronomical Society,"To support of his father, John Doxsey, and other friends, family, and colleagues - provides graduate students or postdocs within one year of receiving or receipt of their PhD a monetary prize to enable the oral presentation of their dissertation research",Professional Development,Prize,N/A,October
2015391,ROI Biologicals 2024 Scholarship,ROI Biologicals,To provide financial assistance to deserving students in their pursuit of higher education,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$10,000 ",October
9990522,Ruth Abernathy Presidential Scholarship,Society of Health and Physical Educators,To recognize to undergraduate students and graduate student.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,750 ",October
9990521,Ruth Abernathy Presidential Undergraduate Scholarship,Society of Health and Physical Educators,"To honor outstanding undergraduate and graduate student members majoring in the field of health, physical education, recreation or dance.",Bachelor's Degree,Scholarship,"$1,250 ",October
9990152,Safer Athletic Field Environments Scholarships (SAFE),Sports Field Management Association,"To assist students within the industry who are outstanding within the sports turf industry, both in sports turf management and research.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,N/A,October
9990505,Samuel Flagg Bemis Dissertation Research Grants,Society for Historians of American Foreign Relations,To promote dissertation research by graduate students.,Graduate Degree,Grant,"$2,000 ",October
9993355,Schallek Fellowship,Medieval Academy of America,To support graduate students conducting doctoral research in any relevant discipline dealing with late-medieval Britain.,Graduate Degree,Fellowship,"$30,000 ",October
2015474,Schneider Electric EcoXpert SkillPointe Scholarship,The SkillPointe Foundation,,"High School
Professional Development
Vocational",Scholarship,"$2,500 ",October
2015473,Schneider Electric SkillPointe Scholarship,The SkillPointe Foundation,For individuals of all backgrounds pursuing educational training related to building automation.,"High School
Professional Development
Vocational",Scholarship,"$5,000 ",October
9993945,Scholarship-Leadership Awards,Kappa Sigma Fraternity,To support undergraduate members are honored for their outstanding journey in education.,Bachelor's Degree,Scholarship,"$5,000,000 ",October
9989237,Shamberg Scholars Program,Washburn University School of Law,To assist Washburn University students in their education.,N/A,Scholarship,"$15,000 ",October
9990490,SICB Fellowship of Graduate Student Travel (FGST),The Society for Integrative and Comparative Biology,"To provide student funds for travel and other expenses at distant research laboratories, museums, or field sites.",Graduate Degree,Fellowship,"$2,000 ",October
9990489,SICB Grants-in-Aid of Research Program (GIAR),The Society for Integrative and Comparative Biology,To support graduate students who conduct research in the fields of integrated and comparative biology.,Graduate Degree,Grant,N/A,October
9990436,SME Coal & Energy Division Scholarship,"Society for Mining, Metallurgy, and Exploration",To support promising college students who have chosen as a career path the field of mining engineering with an emphasis on coal and energy.,Bachelor's Degree,Scholarship,N/A,October
9990607,Smithsonian Institution Graduate Student Fellowships,"Office of Fellowships and Internships
Smithsonian Institution",To provide for students formally enrolled in a graduate program who have completed at least one semester and not yet been advanced to candidacy if in a Ph.D. program.,Graduate Degree,Fellowship,"$7,500 ",October
9990605,Smithsonian Institution Predoctoral Student Fellowships,"Office of Fellowships and Internships
Smithsonian Institution",To provide students and scholars with opportunities to pursue independent research projects in association with members of the Smithsonian professional research staff.,Graduate Degree,Fellowship,"$4,000
$42,000",October
9990600,Smithsonian Postgraduate/Postdoctoral Fellowships in Conservation of,"Office of Fellowships and Internships
Smithsonian Institution",To create opportunity for recent graduates of masters programs in art and archaeological conservation (or the equivalent) and materials scientists (including those at the postdoctoral level).,Professional Development,Fellowship,"$5,000
$42,000
$55,000",October
9990179,SNRS Research Grants,Southern Nursing Research Society,"To support and promote new investigators in initiating or building a program of research, which advances nursing science and practice.",Professional Development,Grant,"$7,500 ",October
9993270,South Dakota Division of Midwest Dairy Scholarships,Midwest Dairy Association,To provide financial support to students majoring in Dairy Science at South Dakota State University in Brookings.,Bachelor's Degree,Scholarship,"$1,000
$3,500",October
9990403,SPE Student Awards for Innovations in Imaging,Society for Photographic Education,To offset the cost of attending SPE's national conference.,"Bachelor's Degree
Graduate Degree",Scholarship,$500 ,October
2015395,"Sports Gear Swag $1,000 Scholarship",Sports Gear Swag,"The Sports Gear Swag scholarship offers a one-time prize of $1,000, which can cover various education-related costs such as tuition, books, computers, accommodation, and other necessary expenses. There are no GPA requirements and no application forms. It's our way of giving back and supporting individuals who want to pursue their dreams through education.","Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9993901,Spring Only Scholarship,Koniag Education Foundation,To support Koniag students who either missed the March 15 deadline for the KEF General Scholarship or are only attending the spring term.,Bachelor's Degree,Scholarship,N/A,October
9996820,St. Andrew’s Society Scholarship Fund,Community Foundation of Prince Edward Island,To support Roman Catholic PEI students of Scottish descent who are pursuing post-secondary education.,Bachelor's Degree,Scholarship,N/A,October
2015361,Stampede Auto Used Cars Dealers Scholarship,Stampede Auto,"The cost of a college education is skyrocketing, and its becoming
more and more difficult for students to afford to pay for school.","Bachelor's Degree
Graduate Degree",Scholarship,$750 ,October
9991297,Steve Duckett Local Conservation Scholarship,Price Benowitz LLP,To support the education of an individual who demonstrates exceptional commitment to natural conservation and environmental stewardship.,"Associate Degree
Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,"$1,000 ",October
9999913,Stewardson Keefe LeBrun Travel Grant,AIA New York Chapter,To further the personal and professional development of an architect in early or midcareer through travel.,Professional Development,"Grant
Prize","$25,000 ",October
9990499,Stuart L. Bernath Dissertation Research Grant,Society for Historians of American Foreign Relations,To help graduate students defray expenses encountered in the writing of their dissertations.,Graduate Degree,Grant,"$4,000 ",October
2015580,Student $1000 Scholarship by ClothingRIC,ClothingRIC,The sole purpose of this scholarship program is to lend a helping hand to students who are going through financial hardships.,"Associate Degree
Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9998769,Student Essay Contest,Americans United for Separation of Church and State,To encourage high school students to reflect on why religious freedom and the separation of religion and government are important to them and their communities.,"Bachelor's Degree
High School",Prize,"$500
$1,000
$1,500",October
9994035,Sue A. Malone Scholarship,Kansas Health Information Management Association,To provide scholarship funds for professional enhancement of Health Information Management professionals.,"Associate Degree
Bachelor's Degree
Graduate Degree
Professional Development",Scholarship,N/A,October
9990354,SVC Foundation Scholarships,Society of Vacuum Coaters Foundation,To develop future leaders in vacuum coating technology.,"Bachelor's Degree
Graduate Degree",Scholarship,"$5,000 ",October
9990153,Terry Mellor Continuing Education Grant,Sports Field Management Association,To fund a portion of the winner's attendance at the STMA Conference.,"Bachelor's Degree
Professional Development",Grant,"$1,000 ",October
9993100,The Hertz Graduate Fellowship Award,National Association of Fellowships Advisors,To build America's capacity for innovation by nurturing remarkable applied scientists and engineers who show the most promise to change the world.,Graduate Degree,Fellowship,N/A,October
2015603,The John Foy & Associates Strong Arm Leukemia Scholarship,The John Foy & Associates,"Our $1,000 scholarship will be awarded to one undergraduate or
graduate student who has battled leukemia or whose life has been affected
by it. We are honored to be a part of this brave community, said firm
founder John M. Foy. We started this scholarship to raise awareness of the
issues that face leukemia patients and their family members. Leukemia is
the most common cancer in children and teens, and its one of the most
diagnosed in adults.","Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000 ",October
2015153,"The Law Firm Of Charles D. Jamieson, P. A. 2022 Family Scholarship","The Law Firm of Charles D. Jamieson, P.A.","As family lawyers, we understand that families come in all shapes and sizes. That is why we are proud to announce our $1,000 The Law Firm of Charles D. Jamieson, P.A. 2021 Family Scholarship! This scholarship opportunity will be awarded to one student who best describes what the word “family” means to them and how living in their household situation has affected and shaped them to be who they are today.

“Family” is often defined as parents and children living together under one roof, individuals with a common ancestry, or those grouped together by common characteristics or values. It can also be described as a place where you feel safe, loved for, or a place where you feel a sense of belonging. As being family lawyers, we at The Law Firm of Charles D. Jamieson P.A. understand that families come in all shapes and sizes, and that oftentimes, goes beyond simply being related to one another. That is why we are proud to announce The Law Firm of Charles D. Jamieson, P. A. 2022 Family Scholarship to award one student with $1,000 to help fund their education!","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
2015360,The Leukemia and Lymphoma Society (LLS) Scholarship for Blood Cancer Survivors,The Leukemia and Lymphoma Society (LLs),Tuition support for young adult survivors of blood cancer,"Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$7,500 ",October
9993793,The Leukemia and Lymphoma Society Scholarship for Blood Cancer,Leukemia and Lymphoma Society,To provide students who were diagnosed with a blood cancer at or before the age of 25.,"Associate Degree
Bachelor's Degree
Professional Development
Vocational",Scholarship,N/A,October
9994392,The Ludo Frevel Crystallography Scholarship,International Centre for Diffraction Data,To support the education and research program of promising graduate students in crystallography-related fields.,Graduate Degree,Scholarship,"$2,500 ",October
9990502,The Michael J. Hogan Foreign Language Fellowship,Society for Historians of American Foreign Relations,"To support an intended defray the costs of studying foreign languages needed for research, or for the travel costs associated with research in foreign language archives.",Graduate Degree,Fellowship,"$4,000 ",October
9994092,The Paul B. Beeson Emerging Leaders Career Development Award in,John A. Hartford Foundation,"To provide support for career development and to advance the leadership skills of medical and surgical specialists conducting clinically relevant basic, translational or clinical, and patient-oriented research in disciplines relevant to aging and geriatrics.",Professional Development,Grant,"$600,000
$800,000",October
9999388,The Paul B. Beeson Emerging Leaders Career Development Award in,American Federation for Aging Research,"To provide support for career development and to advance the leadership skills of medical and surgical specialists conducting clinically relevant basic, translational or clinical, and patient-oriented research in disciplines relevant to aging and geriatrics.",Professional Development,Grant,"$600,000
$800,000",October
9991011,The Responsify Empowering Others Scholarship,Responsify,To help students pay for college.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9990620,The Skylight Effect Scholarship Contest,Skylights for Less,"To reward prospective students, with a preference on those studying in art, architecture, graphic and interior design, and photography.","Bachelor's Degree
Graduate Degree",Scholarship,"$1,000 ",October
9989143,The Starfish Scholarship,"Whetstone Perkins & Fulda, LLC",To help students and encourage them to think about what social justice is and how their actions have an impact on the world around them.,"Associate Degree
Bachelor's Degree
Graduate Degree
High School",Scholarship,"$1,000 ",October
9996461,Translational Research Professorship,Conquer Cancer,To provide funding to full professors who have made significant contributions to cancer research and are dedicated to mentoring the next generation of researchers.,N/A,N/A,"$500,000 ",October
9998128,TriBeta Research Grant Awards,Beta Beta Beta,To provide financial support for meritorious undergraduate research proposals.,Bachelor's Degree,Grant,N/A,October
2015251,U.S. Bank Student Scholarship,U.S. Bank,"To promote financial education and offer free, online financial education modules to students. The more modules they complete, the higher the award amount they are eligible for.","Associate Degree
Bachelor's Degree
High School",Prize,"$20
$2,500",October
9993215,Udall Undergraduate Scholarship,Morris K. Udall and Stewart L. Udall Foundation,"To support an program identifies future leaders in environmental, Tribal public policy, and health care fields.","Associate Degree
Bachelor's Degree",Scholarship,"$7,000 ",October
9992533,Undergraduate Session Assistants Program,New York State Senate,To provide for students direct access to state government and the legislative process.,Bachelor's Degree,N/A,"$5,850 ",October
9989439,UPE Scholarship Awards,Upsilon Pi Epsilon Association,To encourage academic excellence for students in the computing and information disciplines.,"Bachelor's Degree
Graduate Degree",Scholarship,"$1,000
$3,000",October
9990434,Veolia Water Technologies Scholarship,"Society for Mining, Metallurgy, and Exploration",To provide college students who have chosen the field of mining and the environment as a career path.,"Bachelor's Degree
Graduate Degree",Scholarship,"$2,000 ",October
9997100,Video Contest Scholarship for Students Who Enjoy Writing,Cool Club,To assist aspiring writers with educational costs.,"Bachelor's Degree
High School",Scholarship,"$500
$1,000",October
9997950,Vincent T. Wasilewski Award,Broadcast Education Association,To honor broadcasters and the entire electronic media profession.,Graduate Degree,Scholarship,"$4,000 ",October
9990498,W. Stull Holt Dissertation Fellowship,Society for Historians of American Foreign Relations,To defray the costs of travel necessary to conduct research on a significant dissertation project.,Graduate Degree,Fellowship,"$4,000 ",October
9989293,Wade O. Brinker Resident Research Award,Veterinary Orthopedic Society,To provide an research in musculoskeletal conditions in animals.,N/A,Grant,"$12,000 ",October
9989061,WDHOF Undergraduate Scholarships in Marine Conservation,Women Divers Hall of Fame,"To provide financial and educational support to individuals of all ages, particularly those who are preparing for professional careers in scuba diving.",Bachelor's Degree,Scholarship,"$1,000 ",October
9999129,Welch Scholars Grants,American Osteopathic Foundation,To provide financial assistance to students enrolled in a college/university pursuing a career in osteopathic medicine.,Bachelor's Degree,Grant,"$1,500 ",October
9989139,Whirly-Girls Initial or Add-On Helicopter Flight Training Scholarship,Whirly-Girls International Women Helicopter Pilots,To assist a certificated female pilot who does not currently have a helicopter rating.,N/A,Scholarship,"$8,000 ",October
9989138,Whirly-Girls Jean Tinsley Memorial HELI-EXPO Scholarship,Whirly-Girls International Women Helicopter Pilots,"To help our scholarship recipients gain knowledge and experience, increasing their levels of skill, and helping them become safer pilots.",Bachelor's Degree,Scholarship,"$600
$2,400",October
9999140,Willard & Spackman Scholarship Program,American Occupational Therapy Foundation,To offered only to students enrolled in accredited academic occupational therapy programs.,"Graduate Degree
Professional Development",Scholarship,"$2,000 ",October
9997435,Willmoore H. Kendall Scholarships,Club Management Association of America,To provide tuition support to assist club managers interested in pursuing the Certified Club Manager (CCM) designation.,N/A,Scholarship,N/A,October
9989046,Women's Jewelry Association Member Grants,Women's Jewelry Association,To recognize professional-level WJA members in increments of $500 for business development and professional growth and are funded by the national organization and WJA chapters across North America.,Professional Development,Grant,$500 ,October
9989123,Woodrow Wilson International Center for Scholars Fellowships,The Wilson Center,"To encouraged presentation of their work publicly, where possible, and/or participate in other Center programming.","Graduate Degree
Professional Development",Fellowship,N/A,October
9989807,Zombie Apocalypse Scholarship,UNIGO Group,To support students pursuing post-secondary education.,"Associate Degree
Bachelor's Degree
High School",Scholarship,"$2,000 ",October
9989440,$1000 uPONICS Hydroponics/Aquaponics Scholarship,uPONICS,To support a student interested in hydroponics and aquaponics as a sustainable form of agriculture.,Bachelor's Degree,Scholarship,"$1,000 ",November
9999992,280 Group Product Management Scholarship,280 Group,To help students with knowledge and resume-building experience and to help them land their first product management job.,"Bachelor's Degree
Graduate Degree",Scholarship,"$500
$1,495",November
2015442,3-5 Sentence Story Scholarship,keepgoingforward.org,"""A. A. Milne’s changed countless lives with his stories, and could communicate wonderful, universal sentiments in just a few sentences. Flex your creativity and share a 3-5 sentence story that you feel shares something about you. We can’t wait to hear what you have to say! Selections will be made based on creativity, originality, and self-expression. Please apply at https://www.keepgoingforward.org/aamilnescholarship""","Associate Degree
Bachelor's Degree
Graduate Degree
High School
Professional Development
Vocational",Scholarship,"$1,000 ",November
9998418,A. Allen Graffham Research Grant,Association of Applied Paleontological Sciences,"To support researchers that will publish on specimens collected by, or in collaboration with, AAPS members.",Professional Development,Grant,"$1,000 ",November
9998961,"A.C. Elias, Jr. Irish-American Research Travel Fellowship",American Society for Eighteenth-Century Studies,To support documentary scholarship in Ireland in the period between the Treaty of Limerick (1691) and the Act of Union (1800) to enable North American-based scholars to travel in Ireland and Irish-based scholars to travel in North America for furthering their research.,N/A,"Fellowship
Grant","$2,500 ",November
9994468,A.O. Putnam Memorial Scholarship,Institute of Industrial and Systems Engineers,To support the education of industrial engineering students.,Bachelor's Degree,Scholarship,"$2,500 ",November
9999703,AAA Doctoral Dissertation Grant Competition,American Academy of Advertising,To promote doctoral research in advertising.,Graduate Degree,Grant,"$1,000
$2,000",November
9999643,AAAS Science and Technology Policy Fellowships,American Association for the Advancement of Science,To provide professional development opportunity to individuals interested in learning about the science-policy interface while applying their scientific and technical knowledge and analytical skills to the federal policy realm.,Professional Development,Fellowship,N/A,November
9999629,AACR Annual Meeting Scholar-in-Training Award,American Association for Cancer Research,To recognize outstanding young investigators presenting meritorious proffered papers at the AACR Annual Meeting; to support attendance at the Annual Meeting.,"Graduate Degree
Professional Development",Scholarship,N/A,November
9999627,AACR Minority and Minority-Serving Institution Faculty Scholar in,American Association for Cancer Research,To increase the scientific knowledge base of faculty members at Minority-Serving Institutions and to encourage them and their students to pursue careers in cancer research.,Graduate Degree,Scholarship,N/A,November
